area_name,is_country,valid_from,valid_to
Afghanistan,true,,
Africa,false,,
Africa (excluding intra-trade),false,,
Albania,true,,
Algeria,true,,
American Samoa,true,,
Americas,false,,
Americas (excluding intra-trade),false,,
Andorra,true,,
Angola,true,,
Anguilla,true,,
Annex I countries,false,,
Antarctica,true,,
Antigua and Barbuda,true,,
Argentina,true,,
Armenia,true,,
Aruba,true,,
"Ascension, Saint Helena and Tristan da Cunha",true,,
Asia,false,,
Asia (excluding intra-trade),false,,
Australia,true,,
Australia and New Zealand,false,,
Australia and New Zealand (excluding intra-trade),false,,
Austria,true,,
Azerbaijan,true,,
Bahamas,true,,
Bahrain,true,,
Bangladesh,true,,
Barbados,true,,
Belarus,true,,
Belgium,true,,
Belgium-Luxembourg,false,,1999
Belize,true,,
Benin,true,,
Bermuda,true,,
Bhutan,true,,
Bolivia (Plurinational State of),true,,
"Bonaire, Sint Eustatius and Saba",true,2010,
Bosnia and Herzegovina,true,,
Botswana,true,,
Bouvet Island,true,,
Brazil,true,,
British Virgin Islands,true,,
Brunei Darussalam,true,,
Bulgaria,true,,
Burkina Faso,true,,
Burundi,true,,
Cabo Verde,true,,
Cambodia,true,,
Cameroon,true,,
Canada,true,,
Caribbean,false,,
Caribbean (excluding intra-trade),false,,
Cayman Islands,true,,
Central African Republic,true,,
Central America,false,,
Central America (excluding intra-trade),false,,
Central Asia,false,,
Central Asia (excluding intra-trade),false,,
Central Asia and Southern Asia,false,,
Chad,true,,
Chagos Archipelago,true,,
Channel Islands,false,,
Chile,true,,
China,false,,
China (excluding intra-trade),false,,
"China, Hong Kong SAR",true,,
"China, Macao SAR",true,,
"China, mainland",true,,
"China, Taiwan Province of",true,,
Christmas Island,true,,
Cocos (Keeling) Islands,true,,
Colombia,true,,
Comoros,true,,
Congo,true,,
Cook Islands,true,,
Costa Rica,true,,
Croatia,true,,
Cuba,true,,
Curaçao,true,2010,
Cyprus,true,,
Czechia,true,1993,
Czechoslovakia,true,,1992
Côte d'Ivoire,true,,
Democratic People's Republic of Korea,true,,
Democratic Republic of the Congo,true,,
Denmark,true,,
Djibouti,true,,
Dominica,true,,
Dominican Republic,true,,
